issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,Thanks for reaching out. This request needs human support review because it involves restoring access or changing identity-specific account details.,general_support,escalated,product_issue,This ticket asks for account restoration or identity-specific account changes that require human verification.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Thanks for reaching out. This assessment or integrity-related issue needs human review because it involves a protected result or decision.,general_support,escalated,product_issue,"This ticket disputes an assessment result, grading outcome, or integrity decision that should be escalated."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Thanks for reaching out. This billing or refund issue needs human support review because it requires account-specific investigation.,general_support,escalated,product_issue,This ticket needs account-specific billing investigation or a refund decision.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Thanks for reaching out. This billing or refund issue needs human support review because it requires account-specific investigation.,general_support,escalated,product_issue,This ticket needs account-specific billing investigation or a refund decision.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Thanks for reaching out. This billing or refund issue needs human support review because it requires account-specific investigation.,general_support,escalated,product_issue,This ticket needs account-specific billing investigation or a refund decision.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thanks for reaching out. This request needs human support review because it involves legal, privacy, or compliance handling.",general_support,escalated,product_issue,"This ticket requests legal, privacy, or compliance handling outside safe self-service support guidance."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",integrations,escalated,bug,"Escalated because the available support material did not provide a reliable grounded answer. The closest match was about i can not install the add-in for google calendar., but it did not clearly resolve this request."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Thanks for reaching out. This issue appears to be a wider service incident and has been routed for human support review.,general_support,escalated,bug,This ticket describes a platform-wide outage or service incident that should be escalated.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",interviews,escalated,bug,"Escalated because the available support material did not provide a reliable grounded answer. The provided evidence relates to font issues and calendar synchronization, which does not address the user's specific Zoom connectivity blocker during the compatibility check."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"HackerRank Support can't reschedule assessments or interviews. Please contact your recruiter or hiring team for a new date and time, because they control hiring workflow changes.",interviews,replied,product_issue,Replied using HackerRank candidate-support guidance for assessment and interview rescheduling.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",interviews,escalated,product_issue,The provided evidence describes the candidate lobby and pair programming features but does not contain information regarding inactivity timeout settings or the mechanism for session termination during screen sharing.
"it’s not working, help",Help needed,None,"Thanks for reaching out. I could not verify a grounded answer from the available support material, so this request should be reviewed by human support.",connectors,escalated,bug,"Escalated because the available support material did not provide a reliable grounded answer. The closest match was about i’m trying to add claude in slack but it’s not working – help!, but it did not clearly resolve this request."
